source,mlbam_id,fg_id,player_name,team,dynasty_rank,dynasty_tier,position_group,source_rank,fallback_rank,rank_method,notes
FantraxHQ 2026 dynasty rankings,660271,,Shohei Ohtani,LAD,1,Tier 1,TWP,1,2,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,677951,,Bobby Witt Jr.,KC,2,Tier 1,SS,2,1,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,660670,,Ronald Acuna Jr.,ATL,3,Tier 1,OF,3,7,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,592450,,Aaron Judge,NYY,4,Tier 1,OF,4,10,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669373,,Tarik Skubal,DET,5,Tier 1,SP,5,12,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,694973,,Paul Skenes,PIT,6,Tier 1,SP,6,13,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665742,,Juan Soto,NYM,7,Tier 1,OF,7,3,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,682998,,Corbin Carroll,AZ,8,Tier 1,OF,8,14,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,677594,,Julio Rodriguez,SEA,9,Tier 1,OF,9,6,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,682829,,Elly De La Cruz,CIN,10,Tier 1,SS,10,5,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,676979,,Garrett Crochet,BOS,11,Tier 1,SP,11,25,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,694192,,Jackson Chourio,MIL,12,Tier 1,OF,12,16,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,608070,,Jose Ramirez,CLE,13,Tier 2,3B,13,9,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,691406,,Junior Caminero,TB,14,Tier 2,3B,14,46,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665487,,Fernando Tatis Jr.,SD,15,Tier 2,OF,15,17,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,701762,,Nick Kurtz,ATH,16,Tier 2,1B,16,42,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665489,,Vladimir Guerrero Jr.,TOR,17,Tier 2,1B,17,15,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,663656,,Kyle Tucker,LAD,18,Tier 2,OF,18,8,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,695578,,James Wood,WSH,19,Tier 2,OF,19,21,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,683002,,Gunnar Henderson,BAL,20,Tier 2,SS,20,4,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,663728,,Cal Raleigh,SEA,21,Tier 2,C,21,47,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,701350,,Roman Anthony,BOS,22,Tier 2,OF,22,73,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,596019,,Francisco Lindor,NYM,23,Tier 2,SS,23,20,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,686613,,Hunter Brown,HOU,24,Tier 2,SP,24,109,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,808967,,Yoshinobu Yamamoto,LAD,25,Tier 2,SP,25,32,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665862,,Jazz Chisholm Jr.,NYY,26,Tier 2,2B,26,44,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669302,,Logan Gilbert,SEA,27,Tier 2,SP,27,108,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,694671,,Wyatt Langford,TEX,28,Tier 2,OF,28,29,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,656941,,Kyle Schwarber,PHI,29,Tier 2,OF,29,43,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
